node2,85,node2==>node4==>node6
node1,High Blood Pressure: 133,node1==>node3==>node4==>node6
node3,36.73,node3==>node4==>node6
node2,82,node2==>node4==>node6
node3,36.93,node3==>node4==>node6
node2,80,node2==>node5==>node6
node3,Abnormal Body Temp: 37.15,node3==>node5==>node6
node2,84,node2==>node5==>node6
node3,Abnormal Body Temp: 37.23,node3==>node5==>node6
node2,80,node2==>node5==>node6
node3,Abnormal Body Temp: 37.24,node3==>node5==>node6
node2,85,node2==>node4==>node6
node3,36.9,node3==>node4==>node6
node1,High Blood Pressure: 132,node1==>node3==>node4==>node6
node2,81,node2==>node4==>node6
node3,36.95,node3==>node4==>node6
node2,82,node2==>node5==>node6
node3,36.95,node3==>node5==>node6
node2,85,node2==>node5==>node6
node3,36.9,node3==>node5==>node6
node2,85,node2==>node1==>node3==>node1==>node3==>node4==>node6
node2,83,node2==>node4==>node6
node3,36.99,node3==>node4==>node6
node2,80,node2==>node4==>node6
node3,Abnormal Body Temp: 37.01,node3==>node4==>node6
node2,84,node2==>node5==>node6
node3,Abnormal Body Temp: 37.04,node3==>node5==>node6
node2,85,node2==>node5==>node6
node3,Abnormal Body Temp: 37.04,node3==>node5==>node6
node2,85,node2==>node4==>node6
node3,Abnormal Body Temp: 37.14,node3==>node4==>node6
node2,91,node2==>node5==>node6
node3,36.98,node3==>node5==>node6
node2,95,node2==>node1==>node3==>node4==>node6
node2,97,node2==>node4==>node6
node3,36.97,node3==>node4==>node6
node2,98,node2==>node5==>node6
node3,Abnormal Body Temp: 37.12,node3==>node5==>node6
node2,92,node2==>node1==>node3==>node1==>node3==>node4==>node6
node2,93,node2==>node4==>node6
node3,Abnormal Body Temp: 37.14,node3==>node4==>node6
node2,96,node2==>node4==>node6
node3,Abnormal Body Temp: 37.17,node3==>node4==>node6
node2,93,node2==>node4==>node6
node3,Abnormal Body Temp: 37.12,node3==>node4==>node6
node2,90,node2==>node1==>node3==>node1==>node3==>node4==>node6
node2,96,node2==>node4==>node6
node3,Abnormal Body Temp: 37.28,node3==>node4==>node6
node2,97,node2==>node5==>node6
node3,Abnormal Body Temp: 37.28,node3==>node5==>node6
node2,90,node2==>node5==>node6
node3,Abnormal Body Temp: 37.44,node3==>node5==>node6
node2,98,node2==>node4==>node6
node3,Abnormal Body Temp: 37.64,node3==>node4==>node6
node2,98,node2==>node1==>node3==>node4==>node6
node2,91,node2==>node4==>node6
node3,Abnormal Body Temp: 37.98,node3==>node4==>node6
node2,97,node2==>node4==>node6
node3,Abnormal Body Temp: 38.02,node3==>node4==>node6
node2,98,node2==>node4==>node6
